thisImg,thisWord,imTrials.thisRepN,imTrials.thisTrialN,imTrials.thisN,imTrials.thisIndex,wordTrials.thisRepN,wordTrials.thisTrialN,wordTrials.thisN,wordTrials.thisIndex,demoTxt.started,demoTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instrTxt.started,instrTxt.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,blockTxt.started,blockTxt.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,word.started,word.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,endTxt.started,endTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,5.812740199966356,None,space,5.866384900000412,5.812740199966356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
,,,,,,,,,,,,,,,,11.696729799965397,None,space,5.0549093000008725,11.696729799965397,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
images/cats/cat1.jpg,,0,0,0,0,,,,,,,,,,,,,,,,,16.838285299949348,None,space,0.6164506000350229,16.838285299949348,None,,,,,,,,,,,,,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
images/cats/cat3.jpg,,0,1,1,2,,,,,,,,,,,,,,,,,17.49556869996013,None,space,0.41567550000036135,17.49556869996013,None,,,,,,,,,,,,,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
images/cats/cat2.jpg,,0,2,2,1,,,,,,,,,,,,,,,,,17.9391296999529,None,space,0.45158180000726134,17.9391296999529,None,,,,,,,,,,,,,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41905519994907,None,space,1.7070282000349835,18.41905519994907,None,,,,,,,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
,cat,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20.15969000000041,None,space,0.48688390001188964,20.15969000000041,None,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
,meow,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,20.6733499999973,None,space,0.325324899982661,20.6733499999973,None,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
,fluff,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,21.021277999971062,None,space,0.34551190002821386,21.021277999971062,None,,,,001,2021_Jan_08_2209,counterbaance-exercise2,2020.2.10,59.84529989920543,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.38800189999165,None,,,,,,,
