trials.thisTrialN,trials.stepSize,trials.intensity,corrAns,direction,trials.response,resp.rt,date,frameRate,expName,session,participant,
0,0.4,0.5,up,90,1,0.658074855804,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
1,0.4,0.199053585277,up,90,1,0.668143987656,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
2,0.4,0.0792446596231,down,-90,1,0.70277094841,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
3,0.2,0.031547867224,down,-90,0,0.68820309639,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
4,0.2,0.05,up,90,1,0.723853111267,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
5,0.2,0.05,down,-90,0,0.768351078033,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
6,0.2,0.0792446596231,down,-90,0,0.754541158676,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
7,0.2,0.125594321575,down,-90,0,1.00279402733,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
8,0.2,0.199053585277,up,90,1,0.85759806633,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
9,0.2,0.199053585277,down,-90,1,0.756516933441,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
10,0.2,0.199053585277,down,-90,0,1.0045671463,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
11,0.2,0.31547867224,down,-90,1,0.687902927399,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
12,0.2,0.31547867224,up,90,1,0.738545894623,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
13,0.2,0.31547867224,up,90,1,0.716190099716,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
14,0.2,0.199053585277,down,-90,1,0.887278079987,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
15,0.2,0.199053585277,up,90,1,0.720546960831,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
16,0.2,0.199053585277,up,90,1,0.767856836319,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
17,0.1,0.125594321575,down,-90,0,0.970508813858,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
18,0.1,0.158113883008,up,90,1,0.754287004471,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
19,0.1,0.158113883008,up,90,1,0.851865053177,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
20,0.1,0.158113883008,up,90,1,0.787348031998,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
21,0.1,0.125594321575,up,90,1,0.837513923645,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
22,0.1,0.125594321575,down,-90,1,1.13750195503,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
23,0.1,0.125594321575,up,90,1,0.902338027954,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
24,0.1,0.0997631157484,down,-90,1,0.885958909988,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
25,0.1,0.0997631157484,down,-90,1,0.804049015045,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
26,0.1,0.0997631157484,down,-90,0,0.884871006012,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
27,0.1,0.125594321575,up,90,1,0.885209083557,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
28,0.1,0.125594321575,down,-90,1,0.720309972763,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
29,0.1,0.125594321575,down,-90,1,0.803886890411,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
30,0.1,0.0997631157484,down,-90,1,0.818409919739,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
31,0.1,0.0997631157484,up,90,1,0.786941051483,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
32,0.1,0.0997631157484,up,90,1,0.625052928925,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
33,0.1,0.0792446596231,down,-90,1,0.75742483139,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
34,0.1,0.0792446596231,up,90,1,0.770206928253,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
35,0.1,0.0792446596231,up,90,1,0.751666069031,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
36,0.1,0.0629462705897,up,90,1,0.803414821625,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
37,0.1,0.0629462705897,down,-90,0,1.15339803696,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
38,0.1,0.0792446596231,down,-90,0,1.12052512169,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
39,0.1,0.0997631157484,up,90,1,0.703276872635,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
40,0.1,0.0997631157484,up,90,1,0.787896156311,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
41,0.1,0.0997631157484,down,-90,1,0.555115938187,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
42,0.1,0.0792446596231,down,-90,1,0.987376928329,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
43,0.1,0.0792446596231,down,-90,1,0.805773973465,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
44,0.1,0.0792446596231,down,-90,1,0.603978872299,2018_Jan_21_2106,59.6103578636,customRDK,001,S01,
