valid,probeX,cueOri,descr,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,corr,fixTime,participant,cueTime,probeTime,dateStr,gender,consent given,
1,300,0,right,0,0,0,0,right,0.429204863498,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,0,1,1,7,left,1.05884450283,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,0,2,2,1,left,0.444335351365,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,0,3,3,3,left,0.294658126237,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
0,-300,0,conflict,0,4,4,8,left,0.446311950711,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,0,5,5,5,left,0.339168482667,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,0,6,6,4,right,0.43708617327,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,0,7,7,6,right,0.446797357894,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
0,300,180,conflict,0,8,8,9,right,0.485743207055,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,0,9,9,2,right,0.40360296049,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,1,0,10,0,right,0.405839178557,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,1,1,11,1,left,0.376286357548,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,1,2,12,3,left,0.368691654683,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,1,3,13,7,left,0.29971251883,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
0,-300,0,conflict,1,4,14,8,left,0.506401711127,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,1,5,15,2,right,0.297032326143,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
0,300,180,conflict,1,6,16,9,right,0.361725662455,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,1,7,17,4,right,0.360271721591,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,1,8,18,6,right,0.407666392604,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,1,9,19,5,left,0.276325547433,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
0,-300,0,conflict,2,0,20,8,left,0.398120938229,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,2,1,21,6,right,0.350058024595,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,2,2,22,1,left,0.239524688677,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,2,3,23,0,right,0.361284348639,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,2,4,24,7,left,0.345843686722,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,2,5,25,3,left,0.265294982744,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,2,6,26,4,right,0.333274035354,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,2,7,27,5,left,0.24423507696,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,2,8,28,2,right,0.239170041139,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
0,300,180,conflict,2,9,29,9,left,0.262086049732,0,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
0,-300,0,conflict,3,0,30,8,left,0.376532292121,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,3,1,31,2,right,0.309149640354,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,3,2,32,1,left,0.338059306343,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,-300,180,left,3,3,33,7,left,0.220550855431,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
1,300,0,right,3,4,34,0,right,0.259982872007,1,0.5,jwp,0.2,0.2,2017_Apr_27_1208,m,True,
